[0.000] init():  Atollic TrueSTUDIO gdbserver for ST-Link. Version 4.2.2 (LINUX64 2018-02-26 16:20:21 15675)
[1.844] reset_hw_wtchpt_module():  Hardware watchpoint supported by the target 
[1.848] createFlashParams():  STM32 device: Flash size =1024
[1.950] STM32_AppReset():  Enter STM32_AppReset() function 
[2.055] STM32_AppReset():  NVIC_DFSR_REG = 0x00000009
[2.056] STM32_AppReset():  NVIC_CFGFSR_REG = 0x00000000
[2.056] STM32_AppReset():  XPSR = 0x01000000
[2.056] Device_Initialise():  ST_LINK Major version =2 Jtag version =25
[2.056] Device_Initialise():  ST_LINK VID=1155 PID=14155
[2.057] Device_Initialise():  ST_LINK device status: HALT_MODE
[2.057] Device_Initialise():  ST_LINK detects target voltage =2.88 Volt
[2.057] initServerContext():  ST-Link device initialization OK
[2.058] WaitConnection():  Waiting for connection on port 61234...
[2.232] WaitConnection():  Accepted connection on port 61234...
[2.232] Device_GetStatus():  ST_LINK device status: HALT_MODE
[2.310] handlePacket():  Reading 0x4 bytes of memory from addr 0x1fff3da2 
[2.311] handlePacket():  Reading 0x2 bytes of memory from addr 0x1fff3da2 
[2.336] handlePacket():  Reading 0x20 bytes of memory from addr 0xe00fffd0 
[2.379] STM32_AppReset():  Enter STM32_AppReset() function 
[2.484] STM32_AppReset():  NVIC_DFSR_REG = 0x00000009
[2.484] STM32_AppReset():  NVIC_CFGFSR_REG = 0x00000000
[2.485] STM32_AppReset():  XPSR = 0x01000000
[2.485] handleFlashPacket():  Flash erase: Address= 0x8000000, Length=16384 
[2.485] flash_page_erase():  FuncEntry
[2.485] unlock_flash_f2_prg_and_erase_ctrler():  FuncEntry
[2.485] flash_f2_wait_for_last_operation():  FuncEntry
[2.485] flash_f2_get_busy_status():  FuncEntry
[2.486] flash_f2_get_busy_status():  FuncExit
[2.486] flash_f2_wait_for_last_operation():  FuncExit
[2.487] flash_f2_wait_for_last_operation():  FuncEntry
[2.487] flash_f2_get_busy_status():  FuncEntry
[2.487] flash_f2_get_busy_status():  FuncExit
[2.487] flash_f2_wait_for_last_operation():  FuncExit
[2.488] get_f2_flash_error_status():  FuncEntry
[2.488] flash_f2_wait_for_last_operation():  FuncEntry
[2.488] flash_f2_get_busy_status():  FuncEntry
[2.488] flash_f2_get_busy_status():  FuncExit
[2.488] flash_f2_wait_for_last_operation():  FuncExit
[2.489] get_f2_flash_error_status():  FuncExit
[2.489] flash_f2_wait_for_last_operation():  FuncEntry
[2.489] flash_f2_get_busy_status():  FuncEntry
[2.489] flash_f2_get_busy_status():  FuncExit
[2.489] flash_f2_wait_for_last_operation():  FuncExit
[2.490] flash_f2_wait_for_last_operation():  FuncEntry
[2.490] flash_f2_get_busy_status():  FuncEntry
[2.490] flash_f2_get_busy_status():  FuncExit
[2.490] flash_f2_get_busy_status():  FuncEntry
[2.491] flash_f2_get_busy_status():  FuncExit
[2.491] flash_f2_get_busy_status():  FuncEntry
[2.491] flash_f2_get_busy_status():  FuncExit
[2.491] flash_f2_get_busy_status():  FuncEntry
[2.491] flash_f2_get_busy_status():  FuncExit
[2.491] flash_f2_get_busy_status():  FuncEntry
[2.492] flash_f2_get_busy_status():  FuncExit
[2.492] flash_f2_get_busy_status():  FuncEntry
[2.492] flash_f2_get_busy_status():  FuncExit
[2.492] flash_f2_get_busy_status():  FuncEntry
[2.492] flash_f2_get_busy_status():  FuncExit
[2.492] flash_f2_get_busy_status():  FuncEntry
[2.493] flash_f2_get_busy_status():  FuncExit
[2.493] flash_f2_get_busy_status():  FuncEntry
[2.493] flash_f2_get_busy_status():  FuncExit
[2.493] flash_f2_get_busy_status():  FuncEntry
[2.493] flash_f2_get_busy_status():  FuncExit
[2.493] flash_f2_get_busy_status():  FuncEntry
[2.494] flash_f2_get_busy_status():  FuncExit
[2.494] flash_f2_get_busy_status():  FuncEntry
[2.494] flash_f2_get_busy_status():  FuncExit
[2.494] flash_f2_get_busy_status():  FuncEntry
[2.494] flash_f2_get_busy_status():  FuncExit
[2.494] flash_f2_get_busy_status():  FuncEntry
[2.494] flash_f2_get_busy_status():  FuncExit
[2.494] flash_f2_get_busy_status():  FuncEntry
[2.495] flash_f2_get_busy_status():  FuncExit
[2.495] flash_f2_get_busy_status():  FuncEntry
[2.495] flash_f2_get_busy_status():  FuncExit
[2.495] flash_f2_get_busy_status():  FuncEntry
[2.495] flash_f2_get_busy_status():  FuncExit
[2.495] flash_f2_get_busy_status():  FuncEntry
[2.496] flash_f2_get_busy_status():  FuncExit
[2.496] flash_f2_get_busy_status():  FuncEntry
[2.496] flash_f2_get_busy_status():  FuncExit
[2.496] flash_f2_get_busy_status():  FuncEntry
[2.496] flash_f2_get_busy_status():  FuncExit
[2.496] flash_f2_get_busy_status():  FuncEntry
[2.497] flash_f2_get_busy_status():  FuncExit
[2.497] flash_f2_get_busy_status():  FuncEntry
[2.497] flash_f2_get_busy_status():  FuncExit
[2.497] flash_f2_get_busy_status():  FuncEntry
[2.497] flash_f2_get_busy_status():  FuncExit
[2.497] flash_f2_get_busy_status():  FuncEntry
[2.498] flash_f2_get_busy_status():  FuncExit
[2.498] flash_f2_get_busy_status():  FuncEntry
[2.498] flash_f2_get_busy_status():  FuncExit
[2.498] flash_f2_get_busy_status():  FuncEntry
[2.498] flash_f2_get_busy_status():  FuncExit
[2.498] flash_f2_get_busy_status():  FuncEntry
[2.498] flash_f2_get_busy_status():  FuncExit
[2.498] flash_f2_get_busy_status():  FuncEntry
[2.499] flash_f2_get_busy_status():  FuncExit
[2.499] flash_f2_get_busy_status():  FuncEntry
[2.499] flash_f2_get_busy_status():  FuncExit
[2.499] flash_f2_get_busy_status():  FuncEntry
[2.499] flash_f2_get_busy_status():  FuncExit
[2.499] flash_f2_get_busy_status():  FuncEntry
[2.500] flash_f2_get_busy_status():  FuncExit
